latitude,longitude,event_date,soil_wetness_gwet_top,soil_moisture_source
26.1755,91.76175,2016-07-14,0.92,NASA_POWER_MERRA2
26.19038889,91.80994444,2016-07-14,0.92,NASA_POWER_MERRA2
26.18866667,91.76694444,2014-06-27,0.8,NASA_POWER_MERRA2
26.19622222,91.76336111,2014-06-27,0.8,NASA_POWER_MERRA2
26.11464,91.83886,2024-07-05,0.95,NASA_POWER_MERRA2
26.17755556,91.76588889,2017-06-13,0.93,NASA_POWER_MERRA2
26.17672222,91.76525,2017-06-13,0.93,NASA_POWER_MERRA2
26.15427778,91.79263889,2017-06-13,0.93,NASA_POWER_MERRA2
26.15477778,91.77411111,2014-06-27,0.8,NASA_POWER_MERRA2
26.17672222,91.78672222,2014-06-27,0.8,NASA_POWER_MERRA2
26.1895,91.78716667,2016-04-18,0.86,NASA_POWER_MERRA2
25.40586111,93.11097222,2017-05-20,0.79,NASA_POWER_MERRA2
26.11266667,91.85388889,2018-08-24,0.93,NASA_POWER_MERRA2
24.92097,93.07306,2020-06-02,0.91,NASA_POWER_MERRA2
26.19530556,91.76563889,2018-08-31,0.93,NASA_POWER_MERRA2
26.19330556,91.77725,2020-06-28,0.98,NASA_POWER_MERRA2
26.09150556,91.87898611,2020-07-12,0.97,NASA_POWER_MERRA2
26.1916,91.80361,2022-06-16,0.98,NASA_POWER_MERRA2
26.19322,91.77033,2022-06-16,0.98,NASA_POWER_MERRA2
26.18789,91.79493,2022-06-17,0.97,NASA_POWER_MERRA2
25.17136,93.01102,2022-05-14,0.94,NASA_POWER_MERRA2
25.177416,93.00975,2022-05-16,0.92,NASA_POWER_MERRA2
25.18919,93.02118,2022-05-15,0.92,NASA_POWER_MERRA2
24.70619444,92.28997222,2014-05-10,0.75,NASA_POWER_MERRA2
25.17623,93.01326,2022-05-14,0.94,NASA_POWER_MERRA2
26.19113889,91.82961111,2025-05-31,0.89,NASA_POWER_MERRA2
26.158193,91.755807,2025-06-06,0.84,NASA_POWER_MERRA2
26.166185,91.7147,2025-06-04,0.86,NASA_POWER_MERRA2
26.16616,91.713803,2025-06-04,0.86,NASA_POWER_MERRA2
26.16297,91.7059,2025-06-05,0.86,NASA_POWER_MERRA2
26.17027,91.698,2025-05-31,0.89,NASA_POWER_MERRA2
25.117665,92.847709,2022-05-14,0.94,NASA_POWER_MERRA2
25.366255,92.823037,2022-05-14,0.89,NASA_POWER_MERRA2
25.757752,91.252285,2014-07-17,0.75,NASA_POWER_MERRA2
26.238016,91.945953,2025-11-02,0.87,NASA_POWER_MERRA2
25.872268,91.213965,2014-09-23,0.94,NASA_POWER_MERRA2
26.2272613,91.6922458,2008-12-26,0.76,NASA_POWER_MERRA2
26.184324,91.855395,2025-05-31,0.89,NASA_POWER_MERRA2
26.24698,91.964383,2025-07-05,0.89,NASA_POWER_MERRA2
26.11956,92.052125,2025-06-05,0.86,NASA_POWER_MERRA2
25.69814,93.129423,2025-06-05,0.85,NASA_POWER_MERRA2
25.648512,93.121528,2025-06-05,0.85,NASA_POWER_MERRA2
25.740148,91.224044,2014-07-18,0.91,NASA_POWER_MERRA2
26.156633,91.938576,2024-08-08,0.93,NASA_POWER_MERRA2
27.018342,92.6356,2016-07-01,0.8,NASA_POWER_MERRA2
27.193425,93.780983,2016-07-16,0.94,NASA_POWER_MERRA2
27.23995,93.806589,2016-07-17,0.91,NASA_POWER_MERRA2
27.246131,93.804711,2016-07-17,0.91,NASA_POWER_MERRA2
27.254756,93.801303,2016-07-17,0.95,NASA_POWER_MERRA2
27.294886,93.803328,2016-07-17,0.95,NASA_POWER_MERRA2
27.307072,93.806008,2016-07-17,0.95,NASA_POWER_MERRA2
