latitude,longitude,historical_landslide,elevation_m,slope_degrees
27.032817,94.935577,0,101.0,1.3502244696996157
25.743297,90.067652,0,128.0,9.83200384668315
26.041219,94.121612,0,351.0,16.759947048256898
26.374799,90.084598,0,43.0,1.6876048941769748
27.194172,95.587488,0,750.0,8.056359672969409
27.431934,95.599793,0,147.0,2.5695028228896355
26.094646,91.570769,0,49.0,2.4563945664087456
24.685733,93.988125,0,775.0,1.3502244696996157
23.51677,91.492242,0,21.0,1.7210061534334908
26.524303,94.10423,0,92.0,1.9091524329963763
27.092383,93.247974,0,907.0,32.79419861003179
27.780143,95.935616,0,144.0,3.372286683433898
24.917529,94.173825,0,1044.0,20.186438039091524
23.917409,93.289509,0,1303.0,14.273571375658685
23.590627,91.766922,0,117.0,6.721369339369457
27.364125,88.12026,0,2559.0,36.042522272818985
25.981229,94.420794,0,712.0,23.3822424378352
26.763859,90.520639,0,136.0,1.391763426244203
23.284557,92.718124,0,455.0,21.829253707465693
26.748714,90.817881,0,218.0,2.6350263783644494
28.199078,96.272814,0,3166.0,26.842795672040804
27.664261,88.662968,0,3981.0,36.81973830955626
26.077811,92.480254,0,270.0,5.150652185902698
27.433433,93.08202,0,990.0,36.14941470551866
25.835268,92.13072,0,963.0,14.794858563459922
26.367597,91.190527,0,42.0,1.9678637764222802
25.454824,91.99421,0,1578.0,8.077000600578957
27.007719,94.866056,0,101.0,1.2171181316034883
24.036345,91.978257,0,52.0,2.0248682972773406
22.320763,93.1857,0,509.0,26.808333957253367
23.548682,92.577633,0,806.0,39.2212836038685
25.123555,92.289667,0,536.0,29.939155901858673
27.346714,93.236868,0,1847.0,26.00982855671433
27.569235,93.109273,0,926.0,28.35466400077033
27.021627,93.605998,0,380.0,45.74654461475576
26.601448,93.601148,0,97.0,1.6876048941769748
26.332703,91.953283,0,55.0,1.2171181316034883
28.557346,96.292952,0,3165.0,17.69065401563772
27.234816,95.850005,0,1030.0,22.75959931811348
29.00634,94.24856,0,3448.0,23.880251975069534
26.491933,90.572559,0,55.0,2.052775101535614
23.926758,93.974527,0,885.0,32.74284389876187
24.022309,91.994183,0,74.0,8.063246165697251
26.091935,94.980321,0,890.0,38.23952161547351
28.417608,95.496331,0,1824.0,39.07356605812686
28.593956,95.345865,0,3067.0,40.83355025056818
26.611081,91.832509,0,69.0,2.7199233149201807
29.286876,96.140114,0,4119.0,12.814236200163856
28.573497,95.634044,0,1938.0,30.955221205041553
27.483356,88.245337,0,4519.0,9.787315661021411
28.442906,95.553795,0,1923.0,32.869302256737036
28.401733,96.211192,0,2288.0,44.00608643147668
24.236878,92.339442,0,112.0,5.258953144814
24.947982,94.042622,0,794.0,2.5695028228896355
25.788962,93.711037,0,171.0,3.6313935493230582
26.279388,91.633386,0,54.0,3.016961309815993
27.354403,93.074085,0,950.0,18.491238668119102
26.987128,94.987081,0,109.0,1.0675202709770988
24.425095,94.256541,0,964.0,19.59573743353876
24.165113,91.795123,0,56.0,5.759620519825523
26.063764,90.84143,0,40.0,2.7818863802117484
26.304951,92.053523,0,52.0,4.168739961832943
25.439498,94.166934,0,1261.0,21.726194396251515
24.462635,93.962333,0,806.0,12.334204111082284
27.593036,95.705975,0,154.0,3.1996013002506887
25.515872,90.31399,0,985.0,7.746973739247727
26.679596,91.908311,0,84.0,1.5095270002735288
23.776244,92.659756,0,465.0,13.961113236643119
27.735336,95.071822,0,112.0,0.0
22.317978,92.881427,0,535.0,24.88508115884724
25.738953,94.773913,0,1592.0,10.779771619960357
27.536722,96.446595,0,666.0,3.109633021988153
23.890691,92.474539,0,692.0,7.0144286129802715
26.739021,90.336525,0,185.0,5.427642598914455
24.006635,93.904121,0,1682.0,30.025823372710825
22.98143,93.090068,0,904.0,25.13721917646905
26.023681,91.843996,0,112.0,18.009697068630487
23.496656,91.920844,0,121.0,6.0637651384102655
27.174481,93.503008,0,1726.0,14.524375749408206
27.701834,96.066097,0,244.0,2.052775101535614
29.115468,96.035224,0,3063.0,18.926021867372565
27.565774,91.951368,0,2492.0,46.05648219056142
26.480063,93.146284,0,169.0,10.024987862075742
26.187602,91.716345,0,53.0,3.1818128120974354
28.201025,95.081649,0,1342.0,26.762796183610217
27.819527,94.124053,0,1216.0,38.24341460687454
27.616329,94.139194,0,2109.0,22.928052513731263
23.580421,93.313964,0,952.0,11.583636009094745
27.711644,94.587697,0,582.0,26.682404295840968
29.200439,95.714225,0,3801.0,34.41145966051805
26.660608,94.504497,0,316.0,11.671751367544037
24.508114,92.768649,0,260.0,14.752539390568927
28.128826,95.998822,0,1023.0,20.425249359005747
28.176814,93.987191,0,674.0,14.203597427432591
25.578797,93.071461,0,274.0,19.295109135877045
27.441675,92.106978,0,2362.0,19.909807565810034
26.53334,92.380854,0,58.0,1.5095270002735288
27.359255,88.817142,0,4049.0,10.698770358091485
27.645917,92.605239,0,1887.0,20.648782326696498
26.801045,94.50445,0,105.0,2.7199233149201807
25.501754,93.479283,0,407.0,2.7199233149201807
25.142342,93.003298,0,694.0,13.824682316158707
27.676208,93.049756,0,1146.0,26.88811210043463
27.393199,92.564072,0,1665.0,22.509633432668398
