latitude,longitude,elevation_m,slope_degrees,historical_landslide
24.27,92.5,41.0,10.555380466061171,1
24.31,92.56,46.0,2.698950908923438,1
24.32,92.51,81.0,8.47871314708616,1
24.43,92.55,38.0,4.044691235386269,1
24.44,92.5,201.0,25.8493248967401,1
24.44,92.56,36.0,0.9548412538721888,1
24.46,92.52,104.0,3.931095784160226,1
24.478972,92.682861,65.0,15.92277945817654,1
24.48,92.49,56.0,15.06995574963759,1
24.51,92.64,60.0,8.049466975528398,1
24.51,92.75,144.0,2.1342998941463125,1
24.51,92.9,81.0,14.506372352544124,1
24.51,92.71,34.0,4.857533338413092,1
24.511306,92.693028,45.0,5.128711509483252,1
24.515944,92.540889,57.0,14.592550602033429,1
24.52,92.53,68.0,5.385977098599754,1
24.53,92.63,33.0,4.763641690726178,1
24.53,92.84,31.0,1.3502244696996155,1
24.54,92.63,49.0,2.1342998941463125,1
24.55,92.74,56.0,6.091478002079769,1
24.55,92.75,49.0,2.698950908923438,1
24.56,92.94,43.0,7.653048720543413,1
24.62,92.83,35.0,4.857533338413092,1
24.62,92.84,39.0,7.2338446967252255,1
24.63,92.74,71.0,9.321835749415005,1
24.64,92.98,34.0,2.1342998941463125,1
24.645417,93.005361,359.0,30.82665955230447,1
24.659389,92.497361,33.0,4.763641690726178,1
24.70364,92.64681,48.0,12.225122675735754,1
24.70656,92.65008,49.0,3.016961309815993,1
24.710833,92.481167,48.0,17.29444852858009,1
24.72192,92.90381,39.0,10.555380466061171,1
24.73117,92.64739,39.0,11.499465999742789,1
24.78002778,92.45372222,44.0,15.06995574963759,1
24.78380556,92.45563889,33.0,14.763132623631552,1
24.79489,92.55506,45.0,8.735690934280582,1
24.92097,93.07306,61.0,14.763132623631552,1
24.93,92.84,51.0,5.128711509483252,1
24.95,92.73,63.0,1.9091524329963765,1
24.95,92.8,37.0,6.91817481667161,1
24.96,92.92,40.0,4.763641690726177,1
24.96,92.7,42.0,4.857533338413092,1
24.96,92.95,140.0,13.421509132977462,1
24.96,92.66,39.0,10.999158271052185,1
24.96,92.98,60.0,29.927479327463576,1
24.97,92.76,24.0,3.931095784160226,1
24.97,92.72,57.0,4.763641690726178,1
24.97228,93.03289,157.0,2.1342998941463125,1
24.97692,93.033,184.0,18.370345512861498,1
24.98,92.75,32.0,5.710593137499643,1
24.98,92.96,166.0,27.226347381898258,1
24.98,92.72,37.0,1.3502244696996155,1
24.99,92.6,84.0,0.0,1
24.99,92.45,18.0,0.9548412538721888,1
24.99,92.75,152.0,21.95499883223757,1
24.993,93.161583,189.0,20.155422119735228,1
24.99561,93.16261,203.0,29.195082782485805,1
25.0,92.43,22.0,7.594643368591445,1
25.003,93.164,211.0,19.47122063449069,1
25.01,92.75,40.0,1.9091524329963765,1
25.01,92.73,100.0,27.017123217850244,1
25.02,92.52,83.0,2.1342998941463125,1
25.037203,92.450339,211.0,42.850890051218336,1
25.04783,92.78931,95.0,29.85463927845754,1
25.061375,92.795906,271.0,24.862123938667224,1
25.061847,92.79345,354.0,52.75699924416708,1
25.063378,92.795536,283.0,15.503408837548552,1
25.07,93.29,335.0,9.462322208025618,1
25.072636,92.794514,469.0,37.53490600791178,1
25.078935,92.95379,1081.0,23.397741000263863,1
25.088389,92.958944,965.0,22.140679470491683,1
25.1,93.28,909.0,11.904688112848122,1
25.10275,92.986944,612.0,29.020515817031367,1
25.10292,92.986883,603.0,22.29097037475897,1
25.106,93.001,677.0,36.59594159662962,1
25.106956,92.991363,576.0,20.80971857959822,1
25.107,93.002,604.0,24.634322367669885,1
25.108,93.003,538.0,13.134022306396323,1
25.108806,92.975139,367.0,18.174763056324142,1
25.11286,92.87756,230.0,22.07341542334565,1
25.118,93.014,621.0,15.042369244334246,1
25.119,93.017,724.0,20.07880037349212,1
25.119,93.018,750.0,21.95499883223757,1
25.12,93.02,750.0,24.38870074689113,1
25.121,92.915028,306.0,18.370345512861498,1
25.123,93.033,665.0,46.22672695924065,1
25.124306,92.904278,283.0,21.33126583595921,1
25.124583,92.989111,526.0,20.21263223645209,1
25.12906,92.97418,720.0,29.50686221733105,1
25.13,93.27,547.0,28.037600489728423,1
25.13,93.29,989.0,33.723089453168576,1
25.134472,93.018972,757.0,11.795709540896548,1
25.135,93.04,622.0,13.640311227766055,1
25.139,93.025,610.0,12.772578169490426,1
25.139611,93.019556,741.0,18.96231828867539,1
25.14,93.31,1060.0,24.475819581509896,1
25.14,93.3,1188.0,25.03089023333195,1
25.140417,93.020389,732.0,28.002640063185417,1
25.145,93.158,1294.0,17.752790161946685,1
25.14525,93.029167,542.0,27.5172599283964,1
25.145861,93.024194,704.0,17.571258778322424,1
25.146306,93.942167,1287.0,14.763132623631552,1
25.146778,93.030972,483.0,22.22435314380804,1
25.148722,93.031917,451.0,29.83376877992044,1
25.15,93.37,975.0,34.54336392970912,1
25.150694,93.025833,672.0,15.81919394750014,1
25.155,93.067,515.0,21.31357434104547,1
25.155,93.073,600.0,7.653048720543413,1
25.155611,93.022222,617.0,17.752790161946685,1
25.155722,93.022778,613.0,27.32389130134654,1
25.156,93.018,599.0,16.527811501531776,1
25.156389,93.018389,614.0,17.775317038209,1
25.156583,93.019611,624.0,23.428692808745403,1
25.156694,93.017667,616.0,31.051293565952417,1
25.157139,93.017194,651.0,34.730518200788445,1
25.157361,93.016083,641.0,27.79130564477921,1
25.159333,93.017,685.0,7.2338446967252255,1
25.163444,93.023167,557.0,18.96231828867539,1
25.164,93.040194,450.0,17.93200256558677,1
25.165639,93.025444,516.0,13.03657849691309,1
25.169,93.155,960.0,12.53638838286113,1
25.169,93.156,956.0,7.416536974278209,1
25.17,93.36,1165.0,52.732601307509306,1
25.17,93.29,705.0,34.730518200788445,1
25.171889,93.003944,741.0,11.976725812374069,1
25.175056,93.020417,574.0,24.22774531795417,1
25.175972,93.020167,590.0,27.078936947526696,1
25.176389,93.116139,564.0,15.36952380130432,1
25.176917,93.026556,452.0,25.197913740371355,1
25.177028,93.020889,571.0,8.735690934280582,1
25.1775,93.026222,484.0,15.92277945817654,1
25.179861,93.070778,512.0,4.763641690726178,1
25.18,93.33,868.0,23.93089341141916,1
25.18,93.3,880.0,28.485468456722128,1
25.184528,93.125639,630.0,15.36952380130432,1
25.18725,93.120556,650.0,11.348119585994183,1
25.188444,93.019667,522.0,27.17735741799749,1
25.189,93.192,802.0,12.04828213833979,1
25.189,93.226,1462.0,21.31357434104547,1
25.189556,93.096417,535.0,24.591248866909307,1
25.19,93.191,800.0,10.759583898850556,1
25.19,93.3,731.0,30.297100641022165,1
25.193083,93.120417,657.0,11.795709540896548,1
25.196694,93.018583,453.0,23.021526638116164,1
25.199722,93.016722,418.0,28.08409936669116,1
25.2,93.25,1193.0,20.155422119735228,1
25.204,93.059,574.0,12.638224684699054,1
25.204556,93.138889,602.0,17.03574212804197,1
25.205,93.059,575.0,11.499465999742789,1
25.205,93.008,386.0,14.621143938770764,1
25.205528,93.020139,346.0,17.387333467314576,1
25.207389,93.122778,683.0,15.288517970232029,1
25.21,93.25,1210.0,20.097992628721148,1
25.21,93.31,870.0,22.40687120493745,1
25.214944,93.021611,618.0,20.699546585586496,1
25.216881,92.982245,666.0,6.853224835121291,1
25.216944,93.011361,484.0,36.16893488396254,1
25.2185,93.013111,494.0,32.10351627298505,1
25.22,93.29,884.0,1.9091524329963765,1
25.22,93.34,1295.0,19.47122063449069,1
25.22,93.35,1173.0,28.85516751374433,1
25.22,93.32,974.0,12.638224684699054,1
25.224278,93.222861,619.0,10.43076019506472,1
25.229556,93.1556,466.0,18.305448954250743,1
25.23,93.34,1303.0,25.80936745770508,1
25.23,93.29,949.0,21.135527342306386,1
25.238045,92.801279,1272.0,5.710593137499643,1
25.24,93.28,959.0,15.845167180271268,1
25.24,93.27,1086.0,20.99158237694124,1
25.257696,92.809603,1174.0,13.421509132977462,1
25.263528,93.390611,837.0,27.613098503754813,1
25.264056,93.409528,861.0,28.25731168850377,1
25.278472,93.252972,860.0,23.021526638116164,1
25.278917,93.253194,880.0,28.002640063185417,1
25.282861,93.296111,754.0,31.809663934881115,1
25.290089,92.799175,1084.0,10.759583898850556,1
25.308028,93.471028,1594.0,25.34952033151192,1
25.309111,93.470694,1597.0,16.723558006484023,1
25.320232,92.818091,1019.0,7.825525624597575,1
25.323731,92.80751,1061.0,4.044691235386269,1
25.328139,93.334056,553.0,13.326469949385988,1
25.332083,93.334639,549.0,24.904481044556743,1
25.336054,92.82053,1018.0,7.2338446967252255,1
25.362583,93.257722,389.0,15.042369244334244,1
25.369972,93.260306,371.0,21.260377126997213,1
25.387,93.12,319.0,18.96231828867539,1
25.394111,93.410417,509.0,21.95499883223757,1
25.395431,92.990267,399.0,20.699546585586496,1
25.398083,93.297528,354.0,13.16632060042364,1
25.402333,93.407583,497.0,18.434948822922014,1
25.402472,93.390444,462.0,30.297100641022165,1
25.4025,93.392194,454.0,21.80140948635181,1
25.405,93.372194,434.0,9.321835749415005,1
25.40837,92.82826,895.0,21.869859308909422,1
25.408497,93.283436,288.0,11.038532615965034,1
25.410611,93.284,283.0,15.042369244334244,1
25.416056,93.284222,276.0,18.174763056324142,1
25.41616,92.778653,962.0,7.2338446967252255,1
25.417333,93.129083,387.0,3.016961309815993,1
25.417528,93.372528,406.0,12.225122675735754,1
25.42,93.002,277.0,2.862405226111748,1
25.420278,93.371306,406.0,8.735690934280582,1
25.420806,93.371056,393.0,12.260147486012336,1
25.421333,93.370361,391.0,4.857533338413092,1
25.422535,92.989119,210.0,7.825525624597575,1
25.423438,92.985022,256.0,20.846265656650555,1
25.423806,93.369722,396.0,10.176527410054078,1
25.423861,93.369417,399.0,14.959246786437893,1
25.424,93.0,243.0,22.373844274024943,1
25.4255,93.363944,384.0,12.260147486012336,1
25.425611,93.364444,391.0,12.772578169490426,1
25.428597,93.312597,370.0,7.2338446967252255,1
25.433903,93.328944,423.0,17.66231893216494,1
25.434031,92.885056,632.0,10.759583898850556,1
25.435639,93.405944,409.0,13.262676008304846,1
25.435917,93.455944,468.0,13.262676008304846,1
25.4365,93.402333,376.0,13.069151942759,1
25.436528,93.4065,390.0,17.5484006137923,1
25.436639,93.405917,388.0,17.775317038209,1
25.436694,93.402944,372.0,7.416536974278209,1
25.436861,93.404583,385.0,18.64821573021375,1
25.436972,93.454111,472.0,15.845167180271268,1
25.437111,93.403639,374.0,5.788832299437198,1
25.4375,93.404444,376.0,2.862405226111748,1
25.437722,93.349889,393.0,7.825525624597575,1
25.438694,93.362583,373.0,14.959246786437893,1
25.438723,92.912025,561.0,21.419418908984124,1
25.439372,93.354197,397.0,12.772578169490426,1
25.441734,92.892033,618.0,9.462322208025618,1
25.441757,92.907383,574.0,15.288517970232029,1
25.443082,92.989873,300.0,13.069151942759,1
25.443417,93.421444,416.0,15.99993592924168,1
