latitude,longitude,event_date,rainfall_mm_day,elevation_m,slope_degrees,soil_wetness_gwet_top,soil_moisture_source,nearest_landslide_distance_km,nearest_landslide_latitude,nearest_landslide_longitude
26.463729,93.446851,2025-09-13,29.75499725341797,455.0,8.56312820868944,0.94,NASA_POWER_MERRA2,64.75824159240172,26.07256,93.928
23.163367,92.890406,2024-06-01,4.125,665.0,32.17843344762769,0.77,NASA_POWER_MERRA2,1.2222510598227865,23.170678,92.899334
28.152825,95.157224,2024-07-07,0.7799999713897705,372.0,31.89744914744901,0.96,NASA_POWER_MERRA2,66.76614464567439,27.715081,94.692035
25.610245,93.795997,2025-05-31,34.03499984741211,844.0,18.053902977226738,0.89,NASA_POWER_MERRA2,21.098001278530436,25.771451,93.907041
23.39112,92.411991,2023-08-03,8.530000686645508,330.0,23.021526638116164,0.88,NASA_POWER_MERRA2,22.092964748463228,23.206239,92.491221
27.510278,96.025177,2025-06-01,5.134998798370361,181.0,2.9018215173024653,0.92,NASA_POWER_MERRA2,133.31331083244083,27.715081,94.692035
29.00634,94.24856,2024-05-28,2.669999837875366,3448.0,23.88025197506953,0.69,NASA_POWER_MERRA2,149.99511707249417,27.715081,94.692035
27.959768,93.235945,2014-09-23,6.284999847412109,1118.0,23.21858658494179,0.92,NASA_POWER_MERRA2,88.74371012908456,27.339267,93.802581
26.379686,90.460511,2013-08-28,10.054999351501465,48.0,2.5695028228896355,0.87,NASA_POWER_MERRA2,94.02930551493712,25.872268,91.213965
24.907849,94.004507,2012-06-07,0.2349999845027923,900.0,27.68758601868061,0.7,NASA_POWER_MERRA2,10.149217269847949,24.997972,94.020444
28.202527,94.899033,2025-05-31,5.019999504089356,645.0,26.7706565550758,0.92,NASA_POWER_MERRA2,57.889085144853176,27.715081,94.692035
26.38018,92.515972,2025-06-25,2.9800000190734863,62.0,2.263636058426967,0.71,NASA_POWER_MERRA2,54.586278803658416,26.11956,92.052125
28.65297,95.31841,2007-08-28,6.484999656677246,1886.0,59.95755470599998,0.87,NASA_POWER_MERRA2,121.01615175513112,27.715081,94.692035
25.269592,91.024835,2023-09-27,0.8550000190734863,366.0,2.7199233149201807,0.94,NASA_POWER_MERRA2,19.963401631171745,25.20283,91.20908
25.366164,94.461493,2024-07-02,1.579999923706055,1362.0,18.58988204700748,0.93,NASA_POWER_MERRA2,33.02381383703121,25.47217,94.15433
28.147521,94.716673,2024-06-28,112.30999755859376,518.0,18.09247027171656,0.96,NASA_POWER_MERRA2,48.14608191692064,27.715081,94.692035
26.268132,94.168649,2024-05-28,63.3550033569336,416.0,9.920728647509224,0.8,NASA_POWER_MERRA2,19.813087805939578,26.10694722,94.25328889
26.083514,93.522465,2024-10-04,13.220001220703123,885.0,2.0248682972773406,0.87,NASA_POWER_MERRA2,40.521099477427356,26.07256,93.928
26.601448,93.601148,2024-07-02,6.9800004959106445,97.0,1.6876048941769748,0.87,NASA_POWER_MERRA2,55.37350827856223,27.099285,93.614766
24.15858,92.018557,2024-09-24,53.63500213623047,41.0,2.385944030388813,0.88,NASA_POWER_MERRA2,25.564736306488694,24.16966667,91.76686111
26.292357,95.023315,2024-05-28,76.77000427246094,2036.0,31.558764409033664,0.85,NASA_POWER_MERRA2,13.510648605369703,26.39094,94.94406
26.519943,90.6476,2025-06-11,1.6099998950958252,54.0,3.3214321859461395,0.68,NASA_POWER_MERRA2,91.54114984220055,25.872268,91.213965
27.193402,92.487861,2016-04-23,0.1050000041723251,1415.0,36.26089278326507,0.75,NASA_POWER_MERRA2,24.346758866124038,27.018342,92.6356
26.53334,92.380854,2025-05-31,8.930000305175781,58.0,1.5095270002735288,0.83,NASA_POWER_MERRA2,47.19962335924356,26.88969,92.12266
27.866807,88.79395,2025-05-31,14.795000076293944,4964.0,17.274046531083112,0.74,NASA_POWER_MERRA2,30.45396589904562,27.61936111,88.66131389
28.500297,95.80211,2024-06-17,3.825000286102295,648.0,19.52115352837376,0.86,NASA_POWER_MERRA2,139.56102050479112,27.715081,94.692035
