index,latitude,longitude,error
1299,26.219386,89.736812,DEM tile not found: data/satellite\N26E089.hgt
1314,26.016844,89.95937,DEM tile not found: data/satellite\N26E089.hgt
1349,28.084111,97.290929,DEM tile not found: data/satellite\N28E097.hgt
1353,28.475252,93.882246,DEM tile not found: data/satellite\N28E093.hgt
1358,28.480093,93.670618,DEM tile not found: data/satellite\N28E093.hgt
1361,28.055736,97.013816,DEM tile not found: data/satellite\N28E097.hgt
1382,29.39869,95.988882,DEM tile not found: data/satellite\N29E095.hgt
1390,29.123935,94.479771,DEM tile not found: data/satellite\N29E094.hgt
1414,28.334277,93.602067,DEM tile not found: data/satellite\N28E093.hgt
1418,27.949243,97.283604,DEM tile not found: data/satellite\N27E097.hgt
1424,29.181215,96.231743,DEM tile not found: data/satellite\N29E096.hgt
1429,29.096187,94.959191,DEM tile not found: data/satellite\N29E094.hgt
1457,28.427178,93.199265,DEM tile not found: data/satellite\N28E093.hgt
1492,29.253864,96.033948,DEM tile not found: data/satellite\N29E096.hgt
1494,28.063955,93.362975,DEM tile not found: data/satellite\N28E093.hgt
1498,28.182917,93.22171,DEM tile not found: data/satellite\N28E093.hgt
1500,28.274694,93.270014,DEM tile not found: data/satellite\N28E093.hgt
1508,28.352317,93.52443,DEM tile not found: data/satellite\N28E093.hgt
1516,29.105042,95.954264,DEM tile not found: data/satellite\N29E095.hgt
1523,29.109558,96.172216,DEM tile not found: data/satellite\N29E096.hgt
1527,21.967711,92.907128,DEM tile not found: data/satellite\N21E092.hgt
1536,28.005468,97.369308,DEM tile not found: data/satellite\N28E097.hgt
1565,29.01325,94.853535,DEM tile not found: data/satellite\N29E094.hgt
1581,28.588126,93.726976,DEM tile not found: data/satellite\N28E093.hgt
1587,29.21874,95.990331,DEM tile not found: data/satellite\N29E095.hgt
1589,28.054731,93.772534,DEM tile not found: data/satellite\N28E093.hgt
1609,28.226875,97.322774,DEM tile not found: data/satellite\N28E097.hgt
1622,26.344388,89.86168,DEM tile not found: data/satellite\N26E089.hgt
