latitude,longitude,event_date,rainfall_mm_day,rainfall_source
26.463729,93.446851,2025-09-13,29.75499725341797,IMERG_Final_V07
23.163367,92.890406,2024-06-01,4.125,IMERG_Final_V07
28.152825,95.157224,2024-07-07,0.7799999713897705,IMERG_Final_V07
25.610245,93.795997,2025-05-31,34.03499984741211,IMERG_Final_V07
23.39112,92.411991,2023-08-03,8.530000686645508,IMERG_Final_V07
27.510278,96.025177,2025-06-01,5.134998798370361,IMERG_Final_V07
29.00634,94.24856,2024-05-28,2.669999837875366,IMERG_Final_V07
27.959768,93.235945,2014-09-23,6.284999847412109,IMERG_Final_V07
26.379686,90.460511,2013-08-28,10.054999351501465,IMERG_Final_V07
24.907849,94.004507,2012-06-07,0.23499998450279236,IMERG_Final_V07
28.202527,94.899033,2025-05-31,5.0199995040893555,IMERG_Final_V07
26.38018,92.515972,2025-06-25,2.9800000190734863,IMERG_Final_V07
28.65297,95.31841,2007-08-28,6.484999656677246,IMERG_Final_V07
25.269592,91.024835,2023-09-27,0.8550000190734863,IMERG_Final_V07
25.366164,94.461493,2024-07-02,1.5799999237060547,IMERG_Final_V07
28.147521,94.716673,2024-06-28,112.30999755859375,IMERG_Final_V07
26.268132,94.168649,2024-05-28,63.355003356933594,IMERG_Final_V07
26.083514,93.522465,2024-10-04,13.220001220703125,IMERG_Final_V07
26.601448,93.601148,2024-07-02,6.9800004959106445,IMERG_Final_V07
24.15858,92.018557,2024-09-24,53.63500213623047,IMERG_Final_V07
26.292357,95.023315,2024-05-28,76.77000427246094,IMERG_Final_V07
26.519943,90.6476,2025-06-11,1.6099998950958252,IMERG_Final_V07
27.193402,92.487861,2016-04-23,0.10500000417232513,IMERG_Final_V07
26.53334,92.380854,2025-05-31,8.930000305175781,IMERG_Final_V07
27.866807,88.79395,2025-05-31,14.795000076293945,IMERG_Final_V07
28.500297,95.80211,2024-06-17,3.825000286102295,IMERG_Final_V07
26.628634,91.757556,2025-05-31,24.75499725341797,IMERG_Final_V07
26.088517,91.909109,2025-05-30,120.2149887084961,IMERG_Final_V07
24.460136,93.973828,2024-05-28,99.96499633789062,IMERG_Final_V07
24.220985,93.783445,2025-05-31,13.899999618530273,IMERG_Final_V07
23.954213,91.636002,2024-07-02,20.414997100830078,IMERG_Final_V07
24.865074,93.972289,2016-05-22,2.390000104904175,IMERG_Final_V07
25.629587,91.050251,2024-05-28,12.095001220703125,IMERG_Final_V07
29.106735,95.993175,2016-05-22,35.679996490478516,IMERG_Final_V07
29.052951,94.279385,2016-05-22,0.2549999952316284,IMERG_Final_V07
27.219002,92.262175,2024-05-28,12.774999618530273,IMERG_Final_V07
24.541466,92.231465,2024-05-28,77.06999969482422,IMERG_Final_V07
26.184535,93.989692,2025-05-30,60.589988708496094,IMERG_Final_V07
26.496271,91.354061,2024-05-28,19.584999084472656,IMERG_Final_V07
25.757585,92.779348,2025-05-31,54.44000244140625,IMERG_Final_V07
25.636532,91.978014,2025-05-31,52.91999053955078,IMERG_Final_V07
26.284343,91.742207,2024-07-02,4.434999942779541,IMERG_Final_V07
27.673675,95.58938,2025-06-01,8.0,IMERG_Final_V07
26.922652,94.719341,2024-05-24,12.834999084472656,IMERG_Final_V07
27.509529,93.954254,2016-05-22,3.950000286102295,IMERG_Final_V07
23.805201,92.288421,2009-06-20,8.180001258850098,IMERG_Final_V07
26.487858,91.455015,2017-06-13,61.410003662109375,IMERG_Final_V07
26.112282,92.752977,2016-05-22,3.1200003623962402,IMERG_Final_V07
27.416401,92.236234,2025-05-31,11.805000305175781,IMERG_Final_V07
27.995504,96.986194,2024-07-02,0.4399999976158142,IMERG_Final_V07
25.890855,94.558102,2023-04-13,0.0,IMERG_Final_V07
27.256378,94.305877,2016-06-22,11.879999160766602,IMERG_Final_V07
