latitude,longitude,event_date,rainfall_mm_day,elevation_m,slope_degrees,soil_wetness_gwet_top,soil_moisture_source
26.463729,93.446851,2025-09-13,29.75499725341797,455.0,8.56312820868944,0.94,NASA_POWER_MERRA2
23.163367,92.890406,2024-06-01,4.125,665.0,32.17843344762769,0.77,NASA_POWER_MERRA2
28.152825,95.157224,2024-07-07,0.7799999713897705,372.0,31.89744914744901,0.96,NASA_POWER_MERRA2
25.610245,93.795997,2025-05-31,34.03499984741211,844.0,18.053902977226738,0.89,NASA_POWER_MERRA2
23.39112,92.411991,2023-08-03,8.530000686645508,330.0,23.021526638116164,0.88,NASA_POWER_MERRA2
27.510278,96.025177,2025-06-01,5.134998798370361,181.0,2.9018215173024653,0.92,NASA_POWER_MERRA2
29.00634,94.24856,2024-05-28,2.669999837875366,3448.0,23.88025197506953,0.69,NASA_POWER_MERRA2
27.959768,93.235945,2014-09-23,6.284999847412109,1118.0,23.21858658494179,0.92,NASA_POWER_MERRA2
26.379686,90.460511,2013-08-28,10.054999351501465,48.0,2.5695028228896355,0.87,NASA_POWER_MERRA2
24.907849,94.004507,2012-06-07,0.2349999845027923,900.0,27.68758601868061,0.7,NASA_POWER_MERRA2
28.202527,94.899033,2025-05-31,5.019999504089356,645.0,26.7706565550758,0.92,NASA_POWER_MERRA2
26.38018,92.515972,2025-06-25,2.9800000190734863,62.0,2.263636058426967,0.71,NASA_POWER_MERRA2
28.65297,95.31841,2007-08-28,6.484999656677246,1886.0,59.95755470599998,0.87,NASA_POWER_MERRA2
25.269592,91.024835,2023-09-27,0.8550000190734863,366.0,2.7199233149201807,0.94,NASA_POWER_MERRA2
25.366164,94.461493,2024-07-02,1.579999923706055,1362.0,18.58988204700748,0.93,NASA_POWER_MERRA2
28.147521,94.716673,2024-06-28,112.30999755859376,518.0,18.09247027171656,0.96,NASA_POWER_MERRA2
26.268132,94.168649,2024-05-28,63.3550033569336,416.0,9.920728647509224,0.8,NASA_POWER_MERRA2
26.083514,93.522465,2024-10-04,13.220001220703123,885.0,2.0248682972773406,0.87,NASA_POWER_MERRA2
26.601448,93.601148,2024-07-02,6.9800004959106445,97.0,1.6876048941769748,0.87,NASA_POWER_MERRA2
24.15858,92.018557,2024-09-24,53.63500213623047,41.0,2.385944030388813,0.88,NASA_POWER_MERRA2
26.292357,95.023315,2024-05-28,76.77000427246094,2036.0,31.558764409033664,0.85,NASA_POWER_MERRA2
26.519943,90.6476,2025-06-11,1.6099998950958252,54.0,3.3214321859461395,0.68,NASA_POWER_MERRA2
27.193402,92.487861,2016-04-23,0.1050000041723251,1415.0,36.26089278326507,0.75,NASA_POWER_MERRA2
26.53334,92.380854,2025-05-31,8.930000305175781,58.0,1.5095270002735288,0.83,NASA_POWER_MERRA2
27.866807,88.79395,2025-05-31,14.795000076293944,4964.0,17.274046531083112,0.74,NASA_POWER_MERRA2
28.500297,95.80211,2024-06-17,3.825000286102295,648.0,19.52115352837376,0.86,NASA_POWER_MERRA2
26.628634,91.757556,2025-05-31,24.75499725341797,73.0,1.96786377642228,0.83,NASA_POWER_MERRA2
26.088517,91.909109,2025-05-30,120.2149887084961,134.0,16.18139460308577,0.94,NASA_POWER_MERRA2
24.460136,93.973828,2024-05-28,99.96499633789062,866.0,18.180232325920816,0.91,NASA_POWER_MERRA2
24.220985,93.783445,2025-05-31,13.899999618530272,1127.0,20.37590688735051,0.87,NASA_POWER_MERRA2
23.954213,91.636002,2024-07-02,20.41499710083008,58.0,7.33339277230879,0.95,NASA_POWER_MERRA2
24.865074,93.972289,2016-05-22,2.390000104904175,782.0,2.385944030388813,0.88,NASA_POWER_MERRA2
25.629587,91.050251,2024-05-28,12.095001220703123,898.0,16.931476365156406,0.98,NASA_POWER_MERRA2
29.106735,95.993175,2016-05-22,35.67999649047852,3962.0,30.09406096139528,0.85,NASA_POWER_MERRA2
29.052951,94.279385,2016-05-22,0.2549999952316284,4201.0,20.634907946565825,0.8,NASA_POWER_MERRA2
27.219002,92.262175,2024-05-28,12.774999618530272,1825.0,33.608258310846004,0.76,NASA_POWER_MERRA2
24.541466,92.231465,2024-05-28,77.06999969482422,39.0,6.762860735059933,0.96,NASA_POWER_MERRA2
26.184535,93.989692,2025-05-30,60.589988708496094,118.0,4.380487094158032,0.88,NASA_POWER_MERRA2
26.496271,91.354061,2024-05-28,19.584999084472656,49.0,1.4320961841646465,0.77,NASA_POWER_MERRA2
25.757585,92.779348,2025-05-31,54.44000244140625,130.0,3.843668167321381,0.86,NASA_POWER_MERRA2
25.636532,91.978014,2025-05-31,52.91999053955078,975.0,18.74316463666049,0.99,NASA_POWER_MERRA2
26.284343,91.742207,2024-07-02,4.434999942779541,108.0,6.804089732608741,0.87,NASA_POWER_MERRA2
27.673675,95.58938,2025-06-01,8.0,134.0,1.6876048941769748,0.93,NASA_POWER_MERRA2
26.922652,94.719341,2024-05-24,12.834999084472656,94.0,0.6752059787394532,0.56,NASA_POWER_MERRA2
27.509529,93.954254,2016-05-22,3.950000286102295,2565.0,20.462735458857964,0.84,NASA_POWER_MERRA2
23.805201,92.288421,2009-06-20,8.180001258850098,167.0,15.19676900939817,0.76,NASA_POWER_MERRA2
26.487858,91.455015,2017-06-13,61.410003662109375,58.0,0.3376147110174216,0.79,NASA_POWER_MERRA2
26.112282,92.752977,2016-05-22,3.12000036239624,68.0,4.262693045214654,0.82,NASA_POWER_MERRA2
27.416401,92.236234,2025-05-31,11.80500030517578,2387.0,22.47682283321852,0.82,NASA_POWER_MERRA2
27.995504,96.986194,2024-07-02,0.4399999976158142,2058.0,30.258981562005783,0.96,NASA_POWER_MERRA2
25.890855,94.558102,2023-04-13,0.0,1405.0,27.86940402714471,0.68,NASA_POWER_MERRA2
27.256378,94.305877,2016-06-22,11.879999160766602,91.0,1.0675202709770988,0.9,NASA_POWER_MERRA2
22.669703,92.736961,2012-06-22,7.97499942779541,283.0,25.22039963647754,0.84,NASA_POWER_MERRA2
27.126705,93.126159,2021-08-22,2.640000104904175,1600.0,29.349019491371177,0.83,NASA_POWER_MERRA2
27.242974,88.518896,2024-05-28,1.3049999475479126,580.0,30.58895816397544,0.57,NASA_POWER_MERRA2
27.569235,93.109273,2025-05-31,21.46500015258789,926.0,28.35466400077033,0.87,NASA_POWER_MERRA2
28.913347,96.289189,2024-06-01,0.1749999970197677,3322.0,37.63634880026285,0.73,NASA_POWER_MERRA2
24.039511,94.183911,2017-07-09,11.6850004196167,340.0,14.833525810160392,0.73,NASA_POWER_MERRA2
24.920225,94.04579,2025-06-01,51.28499603271485,794.0,3.109633021988153,0.91,NASA_POWER_MERRA2
26.222396,94.108464,2018-08-23,3.764999866485596,479.0,12.334204111082284,0.95,NASA_POWER_MERRA2
28.58364,94.340556,2024-06-18,51.3550033569336,2850.0,34.078971944854835,0.88,NASA_POWER_MERRA2
26.410757,91.51373,2022-10-15,0.0,54.0,1.9091524329963765,0.73,NASA_POWER_MERRA2
27.350908,93.572684,2025-06-01,21.68000030517578,1791.0,19.370844026969944,0.91,NASA_POWER_MERRA2
23.531309,92.858399,2024-05-28,81.0149917602539,715.0,26.509251945803687,0.93,NASA_POWER_MERRA2
25.213681,93.350167,2017-07-04,15.605003356933594,1062.0,26.297079837592264,0.96,NASA_POWER_MERRA2
27.10073,93.93044,2020-06-02,17.450000762939453,94.0,2.7199233149201807,0.85,NASA_POWER_MERRA2
25.157346,90.472015,2016-05-22,0.0,21.0,3.7692440164074177,0.89,NASA_POWER_MERRA2
27.791563,92.942553,2025-06-01,22.84499931335449,1357.0,20.63028032583684,0.83,NASA_POWER_MERRA2
28.524425,95.346083,2024-05-28,33.65999984741211,2426.0,47.09361965530517,0.77,NASA_POWER_MERRA2
24.928346,93.574312,2025-06-01,39.93500518798828,1072.0,21.702479637244338,0.91,NASA_POWER_MERRA2
25.838926,94.555641,2025-06-01,12.28499984741211,1797.0,14.741937164918705,0.87,NASA_POWER_MERRA2
27.169327,94.619202,2025-06-01,4.710000038146973,96.0,1.817522018719848,0.85,NASA_POWER_MERRA2
26.123043,91.908998,2025-05-31,16.71500015258789,76.0,3.7692440164074177,0.89,NASA_POWER_MERRA2
25.114774,93.473721,2023-10-02,0.0,220.0,0.7548944975654582,0.66,NASA_POWER_MERRA2
26.230745,91.892269,2024-05-26,28.645000457763672,53.0,1.0675202709770988,0.66,NASA_POWER_MERRA2
25.64667,92.079661,2018-05-18,0.0,906.0,6.423150913734816,0.91,NASA_POWER_MERRA2
26.174956,91.595953,2024-06-15,63.65999221801758,44.0,0.0,0.86,NASA_POWER_MERRA2
27.300646,94.378307,2007-09-10,24.81999969482422,92.0,3.389067065438376,0.96,NASA_POWER_MERRA2
25.681866,90.953997,2024-07-02,12.829998016357422,782.0,6.457954637909866,0.99,NASA_POWER_MERRA2
26.124846,93.00418,2008-06-19,2.549999952316284,79.0,0.7548944975654582,0.69,NASA_POWER_MERRA2
25.722462,92.2455,2024-05-28,32.41500473022461,828.0,8.327142652905913,0.97,NASA_POWER_MERRA2
25.940242,92.19692,2024-07-02,9.90999984741211,853.0,13.582101615290334,0.86,NASA_POWER_MERRA2
25.638804,90.116149,2024-07-02,13.835000038146973,271.0,0.7548944975654582,0.97,NASA_POWER_MERRA2
27.264254,92.09915,2024-05-29,1.309999942779541,3093.0,21.86985930890943,0.77,NASA_POWER_MERRA2
